"vote","stfeco","stfdem","nwspol_log"
1,3,3,-0.693147180559945
2,7,8,2.30258509299405
1,9,5,3.40119738166216
1,8,4,-0.693147180559945
2,6,4,3.80666248977032
1,5,4,2.99573227355399
2,6,5,3.40119738166216
3,9,6,4.24849524204936
1,8,6,4.0943445622221
2,7,6,2.30258509299405
1,6,7,3.91202300542815
1,3,5,-0.693147180559945
1,6,7,NA
1,1,3,3.40119738166216
2,7,5,3.68887945411394
1,8,5,4.49980967033027
1,8,3,2.30258509299405
1,5,10,3.13549421592915
1,8,5,3.40119738166216
2,7,4,-0.693147180559945
2,8,7,2.70805020110221
1,4,6,2.30258509299405
1,1,3,5.85793315448346
1,9,9,2.99573227355399
1,7,7,5.48063892334199
1,7,5,3.80666248977032
2,8,5,3.68887945411394
1,4,4,3.55534806148941
2,3,6,3.80666248977032
2,0,4,-0.693147180559945
1,9,8,2.70805020110221
1,7,10,2.30258509299405
1,9,4,4.0943445622221
2,7,2,-0.693147180559945
2,7,7,2.99573227355399
1,8,8,5.48063892334199
1,8,8,3.40119738166216
1,5,4,2.70805020110221
2,8,7,2.70805020110221
1,4,7,-0.693147180559945
3,6,3,-0.693147180559945
1,0,5,3.40119738166216
1,6,8,3.40119738166216
1,9,8,3.68887945411394
1,6,2,3.40119738166216
1,8,8,-0.693147180559945
2,6,5,2.99573227355399
2,1,1,3.40119738166216
1,6,6,-0.693147180559945
1,7,0,-0.693147180559945
2,3,2,-0.693147180559945
2,9,6,4.49980967033027
2,9,2,3.40119738166216
2,8,8,4.11087386417331
1,3,6,2.99573227355399
1,5,5,-0.693147180559945
1,8,8,3.40119738166216
2,5,5,4.0943445622221
2,8,0,2.30258509299405
1,6,8,3.40119738166216
1,3,8,4.38202663467388
2,7,5,2.30258509299405
2,NA,7,5.01063529409626
2,NA,2,-0.693147180559945
1,7,7,-0.693147180559945
2,6,5,-0.693147180559945
1,6,6,-0.693147180559945
2,9,5,2.30258509299405
2,6,4,2.99573227355399
2,5,5,-0.693147180559945
1,6,2,3.40119738166216
1,8,8,3.80666248977032
2,5,4,4.78749174278205
1,6,4,-0.693147180559945
1,6,4,4.49980967033027
1,5,5,4.49980967033027
1,NA,7,2.70805020110221
2,6,5,3.40119738166216
1,2,5,-0.693147180559945
2,5,7,-0.693147180559945
2,3,1,4.0943445622221
2,2,1,3.40119738166216
1,6,5,4.0943445622221
1,3,6,2.99573227355399
1,6,4,-0.693147180559945
2,3,7,-0.693147180559945
2,7,7,2.30258509299405
1,8,8,3.40119738166216
1,4,3,-0.693147180559945
2,8,7,3.40119738166216
2,6,6,-0.693147180559945
2,7,5,2.30258509299405
1,10,7,3.40119738166216
2,8,8,5.72031177660741
1,7,8,3.40119738166216
1,7,5,4.78749174278205
2,1,1,-0.693147180559945
2,10,10,-0.693147180559945
1,9,5,3.40119738166216
1,7,6,6.04025471127741
2,9,9,3.40119738166216
1,10,7,4.0943445622221
1,7,10,3.80666248977032
1,8,8,4.0943445622221
2,8,1,-0.693147180559945
1,7,3,2.99573227355399
1,5,3,-0.693147180559945
1,6,4,-0.693147180559945
1,10,8,4.78749174278205
2,5,2,4.17438726989564
2,3,6,2.30258509299405
1,6,5,2.70805020110221
1,4,5,3.40119738166216
2,5,8,NA
2,7,7,-0.693147180559945
1,5,6,3.40119738166216
2,3,5,3.40119738166216
1,6,5,-0.693147180559945
1,6,4,-0.693147180559945
1,6,3,3.40119738166216
3,NA,NA,-0.693147180559945
2,8,2,5.72031177660741
2,7,6,5.01063529409626
1,8,6,2.70805020110221
1,6,8,-0.693147180559945
1,6,6,3.40119738166216
1,7,5,-0.693147180559945
2,4,3,3.40119738166216
2,8,NA,2.99573227355399
1,4,7,2.30258509299405
2,3,3,-0.693147180559945
1,6,NA,2.70805020110221
2,5,3,5.24702407216049
1,3,8,3.40119738166216
2,7,6,3.40119738166216
2,6,5,2.70805020110221
1,3,3,-0.693147180559945
2,5,5,-0.693147180559945
1,6,8,-0.693147180559945
1,5,4,2.30258509299405
1,8,7,4.0943445622221
2,8,8,2.70805020110221
1,9,9,5.01063529409626
1,7,8,-0.693147180559945
1,5,6,2.30258509299405
1,8,8,2.70805020110221
1,4,8,2.30258509299405
2,6,6,2.70805020110221
2,5,5,4.0943445622221
1,10,4,4.70048036579242
1,7,3,3.80666248977032
2,6,6,3.40119738166216
1,7,9,-0.693147180559945
3,5,5,1.6094379124341
1,8,7,3.40119738166216
1,5,6,2.70805020110221
1,7,8,3.68887945411394
1,5,2,2.99573227355399
2,5,5,3.40119738166216
1,7,3,2.99573227355399
3,7,8,-0.693147180559945
1,5,3,3.40119738166216
2,NA,3,-0.693147180559945
1,8,8,3.68887945411394
1,3,5,-0.693147180559945
1,8,5,2.30258509299405
1,5,6,3.40119738166216
2,3,5,3.80666248977032
1,6,3,2.30258509299405
2,4,2,NA
2,4,6,-0.693147180559945
1,8,1,3.80666248977032
1,4,3,4.0943445622221
2,8,6,-0.693147180559945
1,8,6,5.01063529409626
3,2,6,-0.693147180559945
1,8,6,-0.693147180559945
1,6,7,2.99573227355399
2,3,3,-0.693147180559945
1,8,8,3.91202300542815
2,7,10,2.83321334405622
2,10,10,3.40119738166216
2,5,6,3.40119738166216
3,NA,NA,-0.693147180559945
2,4,3,2.30258509299405
1,7,7,3.40119738166216
1,8,6,1.6094379124341
2,5,3,1.6094379124341
1,6,7,-0.693147180559945
1,8,3,2.70805020110221
2,10,10,-0.693147180559945
1,8,7,2.99573227355399
2,6,7,-0.693147180559945
2,6,1,3.68887945411394
1,6,6,-0.693147180559945
1,4,3,3.40119738166216
2,7,NA,3.40119738166216
2,6,7,3.40119738166216
1,7,3,3.40119738166216
1,9,1,3.40119738166216
2,6,5,3.40119738166216
1,8,7,2.30258509299405
1,6,6,3.40119738166216
3,9,9,2.30258509299405
1,NA,4,-0.693147180559945
2,8,8,2.99573227355399
2,NA,1,3.40119738166216
1,5,5,-0.693147180559945
1,7,6,-0.693147180559945
1,8,6,-0.693147180559945
2,5,5,5.56068163101553
1,3,6,NA
1,8,8,2.30258509299405
1,5,0,2.30258509299405
2,3,3,4.49980967033027
1,8,8,3.68887945411394
1,2,3,3.80666248977032
1,7,8,-0.693147180559945
1,8,8,-0.693147180559945
1,0,0,-0.693147180559945
1,7,9,3.80666248977032
2,7,7,3.40119738166216
2,5,6,5.29831736654804
2,8,5,2.70805020110221
1,6,2,NA
1,4,4,3.68887945411394
1,5,3,4.31748811353631
2,4,8,2.99573227355399
2,2,1,-0.693147180559945
2,7,5,-0.693147180559945
2,5,8,3.40119738166216
1,7,6,5.01063529409626
1,7,5,3.80666248977032
1,2,5,-0.693147180559945
2,7,7,3.40119738166216
1,6,6,3.40119738166216
1,5,5,5.48063892334199
1,3,2,3.91202300542815
2,NA,6,-0.693147180559945
2,7,5,2.99573227355399
1,8,7,2.99573227355399
1,5,4,3.40119738166216
1,8,9,4.60517018598809
1,5,5,2.99573227355399
1,7,8,3.40119738166216
1,5,2,-0.693147180559945
2,6,2,-0.693147180559945
2,7,9,2.70805020110221
2,9,9,3.40119738166216
1,5,3,4.49980967033027
1,7,7,2.99573227355399
1,7,7,4.0943445622221
1,7,7,4.11087386417331
2,6,2,4.78749174278205
1,7,7,3.40119738166216
2,3,7,-0.693147180559945
1,4,2,3.40119738166216
1,5,5,3.40119738166216
1,2,3,-0.693147180559945
2,4,6,3.68887945411394
1,7,4,2.99573227355399
1,6,4,4.0943445622221
1,4,7,4.49980967033027
1,8,7,-0.693147180559945
1,5,4,3.80666248977032
1,8,4,4.78749174278205
2,6,7,2.30258509299405
1,7,2,-0.693147180559945
1,7,9,-0.693147180559945
1,8,8,4.0943445622221
2,10,8,2.30258509299405
1,7,4,3.80666248977032
2,7,2,2.99573227355399
1,6,10,3.40119738166216
1,9,8,3.40119738166216
2,8,6,4.49980967033027
2,4,4,2.39789527279837
1,7,8,-0.693147180559945
1,7,2,2.30258509299405
1,6,6,4.0943445622221
1,10,7,2.99573227355399
1,4,3,2.70805020110221
1,7,7,4.0943445622221
1,10,NA,4.4188406077966
1,8,7,2.30258509299405
1,3,1,2.70805020110221
3,NA,7,2.30258509299405
2,5,5,2.30258509299405
2,5,4,2.30258509299405
2,7,7,-0.693147180559945
1,8,8,4.0943445622221
1,7,8,3.40119738166216
1,8,8,-0.693147180559945
2,3,2,2.99573227355399
2,5,0,2.30258509299405
2,8,8,2.99573227355399
1,2,2,-0.693147180559945
1,8,5,2.30258509299405
2,6,3,3.40119738166216
2,6,3,-0.693147180559945
3,8,6,-0.693147180559945
3,NA,6,4.78749174278205
2,6,8,-0.693147180559945
2,6,5,2.70805020110221
1,4,8,3.40119738166216
1,4,3,-0.693147180559945
1,7,9,2.30258509299405
2,7,7,3.68887945411394
1,8,5,-0.693147180559945
1,7,6,3.40119738166216
1,8,8,-0.693147180559945
2,7,3,0.693147180559945
3,8,8,2.70805020110221
1,NA,6,2.99573227355399
2,7,6,-0.693147180559945
1,4,3,3.40119738166216
1,5,6,2.70805020110221
1,7,6,-0.693147180559945
1,8,6,-0.693147180559945
1,7,8,3.40119738166216
1,5,4,3.68887945411394
2,5,6,2.99573227355399
1,7,3,3.40119738166216
2,10,8,4.0943445622221
1,2,1,4.0943445622221
1,6,6,3.40119738166216
1,8,7,3.80666248977032
1,6,3,-0.693147180559945
2,7,3,-0.693147180559945
1,NA,6,5.41610040220442
1,7,7,-0.693147180559945
2,4,6,2.70805020110221
2,6,8,-0.693147180559945
1,7,7,-0.693147180559945
2,6,7,3.3322045101752
1,5,6,2.30258509299405
2,6,7,3.80666248977032
1,4,5,4.0943445622221
2,5,6,-0.693147180559945
1,6,8,3.40119738166216
2,8,0,-0.693147180559945
1,3,0,-0.693147180559945
1,NA,3,2.30258509299405
1,7,0,-0.693147180559945
1,8,8,-0.693147180559945
1,8,7,3.40119738166216
2,7,6,-0.693147180559945
2,5,6,-0.693147180559945
1,6,2,-0.693147180559945
1,8,7,3.40119738166216
1,3,3,2.30258509299405
2,7,5,2.99573227355399
2,3,7,3.40119738166216
2,6,7,4.49980967033027
1,7,5,3.40119738166216
1,8,7,3.40119738166216
1,9,10,-0.693147180559945
1,4,5,3.68887945411394
2,3,2,-0.693147180559945
1,2,5,3.55534806148941
1,9,2,-0.693147180559945
1,5,0,3.40119738166216
1,7,2,3.40119738166216
1,7,7,3.2188758248682
1,7,6,3.40119738166216
1,7,9,2.30258509299405
2,6,3,1.6094379124341
2,1,1,-0.693147180559945
2,NA,5,3.40119738166216
1,6,10,3.40119738166216
1,5,4,3.40119738166216
1,8,5,-0.693147180559945
1,9,9,3.40119738166216
2,5,6,-0.693147180559945
2,7,5,-0.693147180559945
2,8,8,3.40119738166216
1,5,7,4.49980967033027
2,7,4,5.88610403145016
1,6,3,4.78749174278205
2,8,8,2.99573227355399
2,7,10,-0.693147180559945
2,9,9,2.70805020110221
2,3,3,-0.693147180559945
2,4,2,-0.693147180559945
2,7,6,0
2,7,7,2.30258509299405
1,7,8,3.80666248977032
1,1,0,-0.693147180559945
1,6,4,-0.693147180559945
2,5,5,-0.693147180559945
2,5,4,2.70805020110221
1,5,7,-0.693147180559945
1,6,8,3.40119738166216
2,6,5,5.19295685089021
1,6,6,4.31748811353631
1,8,7,3.40119738166216
1,6,6,4.38202663467388
1,5,7,-0.693147180559945
2,9,6,3.40119738166216
1,9,7,3.40119738166216
1,6,4,3.40119738166216
1,6,6,2.99573227355399
2,4,6,-0.693147180559945
1,6,6,-0.693147180559945
1,5,3,3.40119738166216
1,7,10,-0.693147180559945
1,6,6,3.40119738166216
2,5,2,2.99573227355399
1,8,8,-0.693147180559945
1,7,5,4.0943445622221
2,5,6,3.68887945411394
2,5,8,2.99573227355399
1,6,6,3.40119738166216
3,7,7,2.70805020110221
2,6,5,NA
2,2,0,1.6094379124341
2,NA,7,-0.693147180559945
1,7,7,4.78749174278205
2,10,2,5.01063529409626
1,5,7,3.80666248977032
1,9,9,3.40119738166216
1,6,5,3.40119738166216
1,2,3,3.40119738166216
2,4,5,2.99573227355399
2,7,7,3.68887945411394
1,8,8,-0.693147180559945
1,5,2,5.29831736654804
1,7,7,3.40119738166216
1,10,10,5.34710753071747
2,8,4,3.40119738166216
2,5,4,3.40119738166216
1,5,4,4.49980967033027
3,7,3,-0.693147180559945
2,2,6,3.68887945411394
1,8,6,5.72031177660741
1,7,6,3.40119738166216
1,10,10,3.40119738166216
1,5,5,-0.693147180559945
1,6,6,4.49980967033027
2,8,8,-0.693147180559945
1,6,7,6.04025471127741
1,5,7,2.70805020110221
1,8,7,-0.693147180559945
1,5,3,3.68887945411394
1,7,3,2.99573227355399
2,8,6,-0.693147180559945
1,7,7,3.40119738166216
1,7,7,2.99573227355399
1,8,7,3.40119738166216
2,6,6,-0.693147180559945
1,6,8,-0.693147180559945
1,7,5,3.40119738166216
2,5,5,5.59842195899838
1,6,9,-0.693147180559945
1,4,3,2.99573227355399
1,7,3,3.40119738166216
1,7,6,3.40119738166216
1,5,4,3.40119738166216
1,8,5,4.0943445622221
2,6,7,-0.693147180559945
1,8,7,3.40119738166216
1,5,6,-0.693147180559945
2,7,8,3.80666248977032
1,8,7,3.40119738166216
1,8,4,-0.693147180559945
1,6,4,2.70805020110221
2,5,8,3.40119738166216
1,8,8,4.0943445622221
3,NA,8,-0.693147180559945
1,5,4,2.70805020110221
1,8,7,3.40119738166216
2,0,8,-0.693147180559945
1,7,6,3.40119738166216
1,9,7,-0.693147180559945
2,8,8,-0.693147180559945
1,9,9,4.0943445622221
1,8,4,-0.693147180559945
2,6,7,3.40119738166216
1,7,8,3.40119738166216
1,7,8,3.40119738166216
2,5,0,NA
2,5,7,3.40119738166216
2,5,7,4.38202663467388
1,8,7,-0.693147180559945
2,8,5,-0.693147180559945
1,6,5,3.40119738166216
1,6,6,-0.693147180559945
1,7,5,2.30258509299405
2,8,7,2.99573227355399
1,5,5,3.40119738166216
1,4,0,-0.693147180559945
2,4,6,-0.693147180559945
1,0,4,-0.693147180559945
2,0,6,2.30258509299405
1,9,2,3.80666248977032
1,4,0,2.30258509299405
1,9,10,3.40119738166216
2,6,6,-0.693147180559945
2,2,6,3.40119738166216
2,5,6,3.80666248977032
2,8,8,-0.693147180559945
3,5,6,2.99573227355399
1,7,8,2.30258509299405
1,6,5,3.40119738166216
1,8,5,-0.693147180559945
2,4,5,-0.693147180559945
1,6,1,4.78749174278205
NA,NA,6,3.80666248977032
2,5,5,-0.693147180559945
1,8,6,-0.693147180559945
1,7,5,-0.693147180559945
1,3,1,2.30258509299405
1,7,8,-0.693147180559945
2,7,7,-0.693147180559945
1,7,7,3.40119738166216
2,4,4,NA
2,5,8,2.99573227355399
1,9,10,3.40119738166216
1,7,4,-0.693147180559945
3,8,8,-0.693147180559945
2,4,6,2.70805020110221
1,8,4,-0.693147180559945
1,9,6,3.40119738166216
1,1,10,5.34710753071747
1,7,7,3.40119738166216
1,6,6,3.80666248977032
1,9,3,-0.693147180559945
3,6,8,3.40119738166216
2,8,NA,2.30258509299405
1,7,7,2.99573227355399
1,8,8,-0.693147180559945
1,9,5,-0.693147180559945
1,7,7,3.80666248977032
2,4,6,-0.693147180559945
1,7,8,-0.693147180559945
1,6,7,3.40119738166216
1,10,10,5.27299955856375
2,6,7,-0.693147180559945
1,7,5,3.2188758248682
2,6,7,2.70805020110221
2,4,3,-0.693147180559945
2,7,7,-0.693147180559945
2,8,3,2.99573227355399
2,8,7,3.80666248977032
2,7,NA,-0.693147180559945
1,8,4,-0.693147180559945
1,1,1,-0.693147180559945
1,7,1,3.40119738166216
2,10,7,3.40119738166216
1,10,8,5.01063529409626
1,8,7,3.40119738166216
1,5,5,2.70805020110221
2,8,6,3.91202300542815
1,2,0,2.70805020110221
2,8,7,3.40119738166216
1,7,8,2.70805020110221
2,8,9,-0.693147180559945
1,4,2,-0.693147180559945
1,7,4,3.40119738166216
1,7,3,3.80666248977032
2,8,8,2.30258509299405
2,9,9,3.40119738166216
2,8,1,-0.693147180559945
2,7,7,2.99573227355399
1,6,4,-0.693147180559945
1,6,7,3.40119738166216
2,9,9,-0.693147180559945
2,6,7,-0.693147180559945
2,6,8,3.40119738166216
2,5,3,4.49980967033027
2,4,NA,-0.693147180559945
2,10,7,4.24849524204936
2,4,5,2.70805020110221
2,6,8,-0.693147180559945
1,8,5,4.78749174278205
1,5,6,-0.693147180559945
1,5,5,3.40119738166216
2,3,5,-0.693147180559945
2,6,5,3.40119738166216
1,5,1,4.0943445622221
1,3,4,-0.693147180559945
2,7,1,4.78749174278205
1,2,3,2.99573227355399
2,6,5,4.24849524204936
1,7,5,4.0943445622221
1,6,5,2.70805020110221
1,7,4,5.01063529409626
1,7,3,3.40119738166216
1,6,7,-0.693147180559945
1,6,4,3.40119738166216
1,8,8,5.34710753071747
2,5,5,5.72031177660741
1,3,0,3.68887945411394
1,6,5,2.70805020110221
1,6,2,-0.693147180559945
2,7,8,4.49980967033027
2,2,1,3.40119738166216
2,9,8,NA
1,8,6,-0.693147180559945
1,4,8,4.78749174278205
2,8,7,-0.693147180559945
1,8,7,NA
1,6,4,2.30258509299405
1,NA,5,2.99573227355399
1,6,7,3.40119738166216
1,6,5,4.78749174278205
2,2,1,2.99573227355399
1,8,6,5.72031177660741
2,2,0,-0.693147180559945
2,6,6,3.68887945411394
2,6,NA,4.49980967033027
2,7,8,2.99573227355399
1,9,4,3.40119738166216
2,7,4,3.40119738166216
1,8,8,2.99573227355399
2,6,2,2.30258509299405
1,8,7,3.80666248977032
2,4,2,4.0943445622221
2,6,2,-0.693147180559945
1,7,6,5.01063529409626
2,5,7,5.20948615284142
2,1,4,-0.693147180559945
1,9,2,3.40119738166216
1,8,5,3.40119738166216
2,3,6,-0.693147180559945
1,7,3,4.24849524204936
1,7,4,2.30258509299405
1,0,0,3.40119738166216
1,7,7,-0.693147180559945
2,5,3,-0.693147180559945
1,7,6,2.30258509299405
2,7,7,2.99573227355399
2,5,5,-0.693147180559945
1,9,3,5.19295685089021
2,7,6,3.40119738166216
1,5,3,5.48063892334199
2,6,5,2.30258509299405
1,8,8,3.40119738166216
2,5,7,2.30258509299405
2,1,1,5.7037824746562
1,8,4,2.30258509299405
1,8,5,3.40119738166216
1,8,9,3.80666248977032
1,7,5,3.40119738166216
3,4,8,3.40119738166216
1,7,7,3.80666248977032
1,7,8,4.0943445622221
1,2,0,2.99573227355399
1,4,5,-0.693147180559945
2,3,5,3.55534806148941
2,4,7,2.30258509299405
2,6,2,3.80666248977032
1,5,5,6.17378610390194
1,8,5,-0.693147180559945
2,3,3,5.19295685089021
1,7,6,2.70805020110221
1,7,7,3.40119738166216
1,6,6,4.0943445622221
1,5,5,4.78749174278205
2,3,5,3.40119738166216
1,3,4,3.40119738166216
2,NA,3,2.99573227355399
1,3,8,2.99573227355399
2,8,8,5.72031177660741
2,5,5,2.30258509299405
2,8,7,3.40119738166216
1,9,6,-0.693147180559945
1,6,2,3.40119738166216
1,6,8,4.00733318523247
1,9,9,3.40119738166216
1,5,6,3.40119738166216
1,5,4,4.49980967033027
2,2,2,2.30258509299405
2,5,8,3.80666248977032
2,5,6,2.99573227355399
2,8,10,5.01063529409626
1,7,8,-0.693147180559945
1,2,1,4.49980967033027
1,6,6,-0.693147180559945
1,3,4,4.0943445622221
2,7,8,3.40119738166216
1,7,NA,-0.693147180559945
2,NA,6,2.70805020110221
3,7,7,2.99573227355399
1,7,3,3.68887945411394
1,7,5,2.99573227355399
2,10,0,4.80402104473326
2,7,8,3.40119738166216
1,8,9,-0.693147180559945
1,8,8,3.40119738166216
2,10,8,3.40119738166216
1,8,8,2.99573227355399
1,8,4,-0.693147180559945
2,5,9,-0.693147180559945
2,7,4,2.99573227355399
1,2,5,2.99573227355399
1,7,7,2.70805020110221
2,6,7,2.70805020110221
2,8,8,-0.693147180559945
2,1,1,5.72031177660741
2,7,7,3.40119738166216
1,4,2,-0.693147180559945
1,8,8,2.99573227355399
1,10,9,2.70805020110221
1,7,7,2.70805020110221
1,7,7,-0.693147180559945
1,7,5,-0.693147180559945
1,2,3,4.0943445622221
1,8,8,4.49980967033027
2,4,4,5.48063892334199
1,10,8,2.30258509299405
2,5,6,-0.693147180559945
2,6,0,3.80666248977032
2,2,5,3.40119738166216
1,5,6,2.30258509299405
1,4,3,4.0943445622221
2,7,8,-0.693147180559945
2,3,3,-0.693147180559945
2,3,4,3.40119738166216
1,6,7,3.40119738166216
1,5,6,3.40119738166216
1,8,8,-0.693147180559945
1,10,5,2.99573227355399
1,7,8,-0.693147180559945
1,8,4,-0.693147180559945
1,6,8,2.70805020110221
2,5,5,3.40119738166216
1,10,3,-0.693147180559945
1,7,3,-0.693147180559945
1,7,7,3.40119738166216
2,3,3,4.31748811353631
1,7,8,4.78749174278205
1,8,8,4.78749174278205
1,9,10,2.99573227355399
1,6,6,3.40119738166216
1,9,9,6.17378610390194
1,9,0,2.70805020110221
1,5,3,-0.693147180559945
1,8,8,3.68887945411394
1,5,5,-0.693147180559945
1,2,5,2.99573227355399
1,3,6,3.40119738166216
1,2,2,6.17378610390194
1,2,7,2.83321334405622
2,7,6,5.01063529409626
1,9,8,-0.693147180559945
2,6,5,-0.693147180559945
1,7,7,-0.693147180559945
1,2,0,3.40119738166216
1,3,5,3.40119738166216
2,6,7,-0.693147180559945
2,4,7,2.99573227355399
1,7,3,-0.693147180559945
1,7,7,3.40119738166216
1,4,3,4.0943445622221
3,7,7,2.99573227355399
1,4,0,3.91202300542815
1,5,5,2.70805020110221
1,5,5,-0.693147180559945
NA,5,5,5.19295685089021
1,4,6,3.68887945411394
1,6,7,2.30258509299405
1,3,5,4.0943445622221
1,7,10,5.01063529409626
2,8,8,-0.693147180559945
2,4,3,-0.693147180559945
2,8,8,3.40119738166216
2,3,7,2.70805020110221
1,7,7,5.10594547390058
1,8,8,4.0943445622221
2,2,3,-0.693147180559945
3,NA,8,2.70805020110221
2,NA,5,3.40119738166216
2,5,5,5.01063529409626
2,6,6,2.70805020110221
2,6,7,5.19295685089021
1,6,3,3.2188758248682
1,5,5,-0.693147180559945
3,9,3,4.78749174278205
1,10,10,-0.693147180559945
2,8,7,2.99573227355399
2,7,7,3.91202300542815
1,7,7,3.40119738166216
2,10,6,-0.693147180559945
2,6,8,5.72031177660741
1,8,7,3.40119738166216
1,1,2,-0.693147180559945
1,6,8,3.40119738166216
1,8,7,4.49980967033027
2,5,4,3.40119738166216
3,5,6,2.30258509299405
1,6,5,3.40119738166216
2,9,0,4.78749174278205
1,7,3,2.70805020110221
1,7,7,3.80666248977032
