"vyska","vaha","pohlavi"
174,65.6,0
NA,NA,0
193.5,80.7,0
186.5,72.6,0
NA,78.8,0
181.5,74.8,0
184,86.4,0
184.5,78.4,0
175,62,0
184,81.6,0
180,76.6,0
177.8,83.6,0
192,90,0
176,74.6,0
174,71,0
184,79.6,0
192.7,93.8,0
171.5,70,0
173,72.4,0
176,85.9,0
176,78.8,0
180.5,77.8,0
172.7,66.2,0
176,86.4,0
173.5,81.8,0
178,89.6,0
180.3,82.8,0
180.3,76.4,0
164.5,63.2,0
173,60.9,0
183.5,74.8,0
175.5,70,0
188,72.4,0
189.2,84.1,0
172.8,69.1,0
170,59.5,0
182,67.2,0
170,61.3,0
177.8,68.6,0
184.2,80.1,0
186.7,87.8,0
171.4,84.7,0
172.7,73.4,0
175.3,72.1,0
180.3,82.6,0
182.9,88.7,0
188,84.1,0
177.2,94.1,0
172.1,74.9,0
167,59.1,0
169.5,75.6,0
174,86.2,0
172.7,75.3,0
182.2,87.1,0
164.1,55.2,0
163,57,0
171.5,61.4,0
184.2,76.8,0
174,86.8,0
174,72.2,0
177,71.6,0
186,84.8,0
167,68.2,0
171.8,66.1,0
182,72,0
167,64.6,0
177.8,74.8,0
164.5,70,0
192,101.6,0
175.5,63.2,0
171.2,79.1,0
181.6,78.9,0
167.4,67.7,0
181.1,66,0
177,68.2,0
174.5,63.9,0
177.5,72,0
170.5,56.8,0
182.4,74.5,0
197.1,90.9,0
180.1,93,0
175.5,80.9,0
180.6,72.7,0
184.4,68,0
175.5,70.9,0
180.6,72.5,0
177,72.5,0
177.1,83.4,0
181.6,75.5,0
176.5,73,0
175,70.2,0
174,73.4,0
165.1,70.5,0
177,68.9,0
192,102.3,0
176.5,68.4,0
169.4,65.9,0
182.1,75.7,0
179.8,84.5,0
175.3,87.7,0
184.9,86.4,0
177.3,73.2,0
167.4,53.9,0
178.1,72,0
168.9,55.5,0
157.2,58.4,0
180.3,83.2,0
170.2,72.7,0
177.8,64.1,0
172.7,72.3,0
165.1,65,0
186.7,86.4,0
165.1,65,0
174,88.6,0
175.3,84.1,0
185.4,66.8,0
177.8,75.5,0
180.3,93.2,0
180.3,82.7,0
177.8,58,0
177.8,79.5,0
177.8,78.6,0
177.8,71.8,0
177.8,116.4,0
163.8,72.2,0
188,83.6,0
198.1,85.5,0
175.3,90.9,0
166.4,85.9,0
190.5,89.1,0
166.4,75,0
177.8,77.7,0
179.7,86.4,0
172.7,90.9,0
190.5,73.6,0
185.4,76.4,0
168.9,69.1,0
167.6,84.5,0
175.3,64.5,0
170.2,69.1,0
190.5,108.6,0
177.8,86.4,0
190.5,80.9,0
177.8,87.7,0
184.2,94.5,0
176.5,80.2,0
177.8,72,0
180.3,71.4,0
171.4,72.7,0
172.7,84.1,0
172.7,76.8,0
177.8,63.6,0
177.8,80.9,0
182.9,80.9,0
170.2,85.5,0
167.6,68.6,0
175.3,67.7,0
165.1,66.4,0
185.4,102.3,0
181.6,70.5,0
172.7,95.9,0
190.5,84.1,0
179.1,87.3,0
175.3,71.8,0
170.2,65.9,0
193,95.9,0
171.4,91.4,0
177.8,81.8,0
177.8,96.8,0
167.6,69.1,0
167.6,82.7,0
180.3,75.5,0
182.9,79.5,0
176.5,73.6,0
186.7,91.8,0
188,84.1,0
188,85.9,0
177.8,81.8,0
174,82.5,0
177.8,80.5,0
171.4,70,0
185.4,81.8,0
185.4,84.1,0
188,90.5,0
188,91.4,0
182.9,89.1,0
176.5,85,0
175.3,69.1,0
175.3,73.6,0
188,80.5,0
188,82.7,0
175.3,86.4,0
170.5,67.7,0
179.1,92.7,0
177.8,93.6,0
175.3,70.9,0
182.9,75,0
170.8,93.2,0
188,93.2,0
180.3,77.7,0
177.8,61.4,0
185.4,94.1,0
168.9,75,0
185.4,83.6,0
180.3,85.5,0
174,73.9,0
167.6,66.8,0
182.9,87.3,0
160,72.3,0
180.3,88.6,0
167.6,75.5,0
186.7,101.4,0
175.3,91.1,0
175.3,67.3,0
175.9,77.7,0
175.3,81.8,0
179.1,75.5,0
181.6,84.5,0
177.8,76.6,0
182.9,85,0
177.8,102.5,0
184.2,77.3,0
179.1,71.8,0
176.5,87.9,0
188,94.3,0
174,70.9,0
167.6,64.5,0
170.2,77.3,0
167.6,72.3,0
188,87.3,0
174,80,0
176.5,82.3,0
180.3,73.6,0
167.6,74.1,0
188,85.9,0
180.3,73.2,0
167.6,76.3,0
183,65.9,0
183,90.9,0
179.1,89.1,0
170.2,62.3,0
177.8,82.7,0
179.1,79.1,0
190.5,98.2,0
177.8,84.1,0
180.3,83.2,0
180.3,83.2,0
161.2,51.6,1
167.5,59,1
159.5,49.2,1
157,63,1
155.8,53.6,1
170,59,1
159.1,47.6,1
166,69.8,1
176.2,66.8,1
160.2,75.2,1
172.5,55.2,1
170.9,54.2,1
172.9,62.5,1
153.4,42,1
160,50,1
147.2,49.8,1
168.2,49.2,1
175,73.2,1
157,47.8,1
167.6,68.8,1
159.5,50.6,1
175,82.5,1
166.8,57.2,1
176.5,87.8,1
170.2,72.8,1
174,54.5,1
173,59.8,1
179.9,67.3,1
170.5,67.8,1
160,47,1
154.4,46.2,1
162,55,1
176.5,83,1
160,54.4,1
152,45.8,1
162.1,53.6,1
170,73.2,1
160.2,52.1,1
161.3,67.9,1
166.4,56.6,1
168.9,62.3,1
163.8,58.5,1
167.6,54.5,1
160,50.2,1
161.3,60.3,1
167.6,58.3,1
165.1,56.2,1
160,50.2,1
170,72.9,1
157.5,59.8,1
167.6,61,1
160.7,69.1,1
163.2,55.9,1
152.4,46.5,1
157.5,54.3,1
168.3,54.8,1
180.3,60.7,1
165.5,60,1
165,62,1
164.5,60.3,1
156,52.7,1
160,74.3,1
163,62,1
165.7,73.1,1
161,80,1
162,54.7,1
166,53.2,1
174,75.7,1
172.7,61.1,1
167.6,55.7,1
151.1,48.7,1
164.5,52.3,1
163.5,50,1
152,59.3,1
169,62.5,1
164,55.7,1
161.2,54.8,1
155,45.9,1
170,70.6,1
176.2,67.2,1
170,69.4,1
162.5,58.2,1
170.3,64.8,1
164.1,71.6,1
169.5,52.8,1
163.2,59.8,1
154.5,49,1
159.8,50,1
173.2,69.2,1
170,55.9,1
161.4,63.4,1
169,58.2,1
166.2,58.6,1
159.4,45.7,1
162.5,52.2,1
159,48.6,1
162.8,57.8,1
159,55.6,1
179.8,66.8,1
162.9,59.4,1
161,53.6,1
151.1,73.2,1
168.2,53.4,1
168.9,69,1
173.2,58.4,1
171.8,56.2,1
178,70.6,1
164.3,59.8,1
163,72,1
168.5,65.2,1
166.8,56.6,1
172.7,105.2,1
163.5,51.8,1
169.4,63.4,1
167.8,59,1
159.5,47.6,1
167.6,63,1
161.2,55.2,1
160,45,1
163.2,54,1
162.2,50.2,1
161.3,60.2,1
149.5,44.8,1
157.5,58.8,1
163.2,56.4,1
172.7,62,1
155,49.2,1
156.5,67.2,1
164,53.8,1
160.9,54.4,1
162.8,58,1
167,59.8,1
160,54.8,1
160,43.2,1
168.9,60.5,1
158.2,46.4,1
156,64.4,1
160,48.8,1
167.1,62.2,1
158,55.5,1
167.6,57.8,1
156,54.6,1
162.1,59.2,1
173.4,52.7,1
159.8,53.2,1
170.5,64.5,1
159.2,51.8,1
157.5,56,1
161.3,63.6,1
162.6,63.2,1
160,59.5,1
168.9,56.8,1
165.1,64.1,1
162.6,50,1
165.1,72.3,1
166.4,55,1
160,55.9,1
152.4,60.4,1
170.2,69.1,1
162.6,84.5,1
170.2,55.9,1
158.8,55.5,1
172.7,69.5,1
167.6,76.4,1
162.6,61.4,1
167.6,65.9,1
156.2,58.6,1
175.2,66.8,1
172.1,56.6,1
162.6,58.6,1
160,55.9,1
165.1,59.1,1
182.9,81.8,1
166.4,70.7,1
165.1,56.8,1
177.8,60,1
165.1,58.2,1
175.3,72.7,1
154.9,54.1,1
158.8,49.1,1
172.7,75.9,1
168.9,55,1
161.3,57.3,1
167.6,55,1
165.1,65.5,1
175.3,65.5,1
157.5,48.6,1
163.8,58.6,1
167.6,63.6,1
165.1,55.2,1
165.1,62.7,1
168.9,56.6,1
162.6,53.9,1
164.5,63.2,1
176.5,73.6,1
168.9,62,1
175.3,63.6,1
159.4,53.2,1
160,53.4,1
170.2,55,1
162.6,70.5,1
167.6,54.5,1
162.6,54.5,1
160.7,55.9,1
160,59,1
157.5,63.6,1
162.6,54.5,1
152.4,47.3,1
170.2,67.7,1
165.1,80.9,1
172.7,70.5,1
165.1,60.9,1
170.2,63.6,1
170.2,54.5,1
170.2,59.1,1
161.3,70.5,1
167.6,52.7,1
167.6,62.7,1
165.1,86.3,1
162.6,66.4,1
152.4,67.3,1
168.9,63,1
170.2,73.6,1
175.2,62.3,1
175.2,57.7,1
160,55.4,1
165.1,104.1,1
174,55.5,1
170.2,77.3,1
160,80.5,1
167.6,64.5,1
167.6,72.3,1
167.6,61.4,1
154.9,58.2,1
162.6,81.8,1
175.3,63.6,1
171.4,53.4,1
157.5,54.5,1
165.1,53.6,1
160,60,1
174,73.6,1
162.6,61.4,1
174,55.5,1
162.6,63.6,1
161.3,60.9,1
156.2,60,1
149.9,46.8,1
169.5,57.3,1
160,64.1,1
175.3,63.6,1
169.5,67.3,1
160,75.5,1
172.7,68.2,1
162.6,61.4,1
157.5,76.8,1
176.5,71.8,1
164.4,55.5,1
160.7,48.6,1
174,66.4,1
163.8,67.3,1
